{'x': [4, 25, 36, 44], 'x6': 47, 'S': 33196, 'S_is_cube': False}
{'x': [4, 36, 25, 44], 'x6': 47, 'S': 33196, 'S_is_cube': False}
{'x': [4, 44, 25, 36], 'x6': 47, 'S': 33196, 'S_is_cube': False}
{'x': [6, 18, 18, 20], 'x6': 47, 'S': 103185, 'S_is_cube': False}
{'x': [6, 20, 18, 18], 'x6': 47, 'S': 103185, 'S_is_cube': False}
{'x': [15, 32, 38, 40], 'x6': 47, 'S': 50864, 'S_is_cube': False}
{'x': [15, 38, 32, 40], 'x6': 47, 'S': 50864, 'S_is_cube': False}
{'x': [15, 40, 32, 38], 'x6': 47, 'S': 50864, 'S_is_cube': False}
{'x': [17, 24, 32, 46], 'x6': 47, 'S': 3992, 'S_is_cube': False}
{'x': [17, 32, 24, 46], 'x6': 47, 'S': 3992, 'S_is_cube': False}
{'x': [17, 46, 24, 32], 'x6': 47, 'S': 3992, 'S_is_cube': False}
{'x': [6, 7, 18, 36], 'x6': 49, 'S': 107844, 'S_is_cube': False}
{'x': [6, 18, 7, 36], 'x6': 49, 'S': 107844, 'S_is_cube': False}
{'x': [6, 36, 7, 18], 'x6': 49, 'S': 107844, 'S_is_cube': False}
{'x': [7, 16, 36, 40], 'x6': 49, 'S': 86900, 'S_is_cube': False}
{'x': [7, 36, 16, 40], 'x6': 49, 'S': 86900, 'S_is_cube': False}
{'x': [7, 40, 16, 36], 'x6': 49, 'S': 86900, 'S_is_cube': False}
{'x': [6, 16, 22, 45], 'x6': 51, 'S': 95720, 'S_is_cube': False}
{'x': [6, 22, 16, 45], 'x6': 51, 'S': 95720, 'S_is_cube': False}
{'x': [6, 45, 16, 22], 'x6': 51, 'S': 95720, 'S_is_cube': False}
{'x': [10, 34, 36, 45], 'x6': 51, 'S': 74632, 'S_is_cube': False}
{'x': [10, 36, 34, 45], 'x6': 51, 'S': 74632, 'S_is_cube': False}
{'x': [10, 45, 34, 36], 'x6': 51, 'S': 74632, 'S_is_cube': False}
{'x': [12, 16, 34, 36], 'x6': 51, 'S': 117707, 'S_is_cube': False}
{'x': [12, 34, 16, 36], 'x6': 51, 'S': 117707, 'S_is_cube': False}
{'x': [12, 36, 16, 34], 'x6': 51, 'S': 117707, 'S_is_cube': False}
{'x': [4, 24, 38, 43], 'x6': 53, 'S': 112432, 'S_is_cube': False}
{'x': [4, 38, 24, 43], 'x6': 53, 'S': 112432, 'S_is_cube': False}
{'x': [4, 43, 24, 38], 'x6': 53, 'S': 112432, 'S_is_cube': False}
{'x': [4, 9, 32, 50], 'x6': 55, 'S': 104792, 'S_is_cube': False}
{'x': [4, 9, 36, 54], 'x6': 55, 'S': 26616, 'S_is_cube': False}
{'x': [4, 32, 9, 50], 'x6': 55, 'S': 104792, 'S_is_cube': False}
{'x': [4, 36, 9, 54], 'x6': 55, 'S': 26616, 'S_is_cube': False}
{'x': [4, 50, 9, 32], 'x6': 55, 'S': 104792, 'S_is_cube': False}
{'x': [4, 54, 9, 36], 'x6': 55, 'S': 26616, 'S_is_cube': False}
{'x': [20, 23, 36, 50], 'x6': 55, 'S': 98320, 'S_is_cube': False}
{'x': [20, 36, 23, 50], 'x6': 55, 'S': 98320, 'S_is_cube': False}
{'x': [20, 50, 23, 36], 'x6': 55, 'S': 98320, 'S_is_cube': False}
{'x': [2, 12, 22, 24], 'x6': 57, 'S': 184361, 'S_is_cube': False}
{'x': [2, 22, 12, 24], 'x6': 57, 'S': 184361, 'S_is_cube': False}
{'x': [2, 24, 12, 22], 'x6': 57, 'S': 184361, 'S_is_cube': False}
{'x': [5, 16, 22, 54], 'x6': 59, 'S': 131360, 'S_is_cube': False}
{'x': [5, 22, 16, 54], 'x6': 59, 'S': 131360, 'S_is_cube': False}
{'x': [5, 54, 16, 22], 'x6': 59, 'S': 131360, 'S_is_cube': False}
{'x': [6, 32, 34, 37], 'x6': 59, 'S': 192344, 'S_is_cube': False}
{'x': [6, 34, 32, 37], 'x6': 59, 'S': 192344, 'S_is_cube': False}
{'x': [6, 37, 32, 34], 'x6': 59, 'S': 192344, 'S_is_cube': False}
{'x': [22, 30, 37, 58], 'x6': 59, 'S': 26528, 'S_is_cube': False}
{'x': [22, 37, 30, 58], 'x6': 59, 'S': 26528, 'S_is_cube': False}
{'x': [22, 58, 30, 37], 'x6': 59, 'S': 26528, 'S_is_cube': False}
{'x': [36, 37, 50, 50], 'x6': 59, 'S': 78664, 'S_is_cube': False}
{'x': [36, 50, 37, 50], 'x6': 59, 'S': 78664, 'S_is_cube': False}
{'x': [15, 17, 17, 51], 'x6': 60, 'S': 170294, 'S_is_cube': False}
{'x': [15, 51, 17, 17], 'x6': 60, 'S': 170294, 'S_is_cube': False}
{'x': [19, 19, 45, 57], 'x6': 60, 'S': 62942, 'S_is_cube': False}
{'x': [19, 45, 19, 57], 'x6': 60, 'S': 62942, 'S_is_cube': False}
{'x': [4, 6, 38, 46], 'x6': 61, 'S': 197573, 'S_is_cube': False}
{'x': [4, 38, 6, 46], 'x6': 61, 'S': 197573, 'S_is_cube': False}
{'x': [4, 46, 6, 38], 'x6': 61, 'S': 197573, 'S_is_cube': False}
{'x': [10, 36, 40, 59], 'x6': 61, 'S': 55372, 'S_is_cube': False}
{'x': [10, 40, 36, 59], 'x6': 61, 'S': 55372, 'S_is_cube': False}
{'x': [10, 59, 36, 40], 'x6': 61, 'S': 55372, 'S_is_cube': False}
{'x': [19, 33, 55, 55], 'x6': 62, 'S': 10022, 'S_is_cube': False}
{'x': [19, 55, 33, 55], 'x6': 62, 'S': 10022, 'S_is_cube': False}
{'x': [1, 6, 30, 56], 'x6': 63, 'S': 175936, 'S_is_cube': False}
{'x': [1, 30, 6, 56], 'x6': 63, 'S': 175936, 'S_is_cube': False}
{'x': [1, 56, 6, 30], 'x6': 63, 'S': 175936, 'S_is_cube': False}
{'x': [6, 9, 50, 56], 'x6': 63, 'S': 126716, 'S_is_cube': False}
{'x': [6, 50, 9, 56], 'x6': 63, 'S': 126716, 'S_is_cube': False}
{'x': [6, 56, 9, 50], 'x6': 63, 'S': 126716, 'S_is_cube': False}
{'x': [12, 16, 41, 50], 'x6': 65, 'S': 234572, 'S_is_cube': False}
{'x': [12, 41, 16, 50], 'x6': 65, 'S': 234572, 'S_is_cube': False}
{'x': [12, 50, 16, 41], 'x6': 65, 'S': 234572, 'S_is_cube': False}
{'x': [18, 36, 54, 55], 'x6': 65, 'S': 143988, 'S_is_cube': False}
{'x': [18, 54, 36, 55], 'x6': 65, 'S': 143988, 'S_is_cube': False}
{'x': [18, 55, 36, 54], 'x6': 65, 'S': 143988, 'S_is_cube': False}
{'x': [26, 30, 33, 48], 'x6': 65, 'S': 246696, 'S_is_cube': False}
