checked 121206464 hits 10
(9, -249, 14, 18, 22, 'nonsquare')
(18, -996, 28, 36, 44, 'nonsquare')
(27, -2241, 42, 54, 66, 'nonsquare')
(36, -3984, 56, 72, 88, 'nonsquare')
(45, -6225, 70, 90, 110, 'nonsquare')
(54, -8964, 84, 108, 132, 'nonsquare')
(63, -12201, 98, 126, 154, 'nonsquare')
(72, -15936, 112, 144, 176, 'nonsquare')
(81, -20169, 126, 162, 198, 'nonsquare')
(90, -24900, 140, 180, 220, 'nonsquare')
